country_name;structure_of_parl;chamber;numb_parl_parties;election_date;electoral_system;date_elec_syst
Austria;Bicameral;National Council;5;29.09.2019;Proportional representation;01.01.2005
Belgium;Bicameral;House of Representatives;12;26.05.2019;Proportional representation;01.01.2005
Bulgaria;Unicameral;National Assembly;6;02.04.2023;Proportional representation;01.06.2005
Croatia;Unicameral;Croatian Parliament;8;05.07.2020;Proportional representation;01.01.2005
Cyprus;Unicameral;House of Representatives;7;30.05.2021;Proportional representation;01.01.2005
Czech Republic;Bicameral;Chamber of Deputies;4;09.10.2021;Proportional representation;01.01.2005
Denmark;Unicameral;The Danish Parliament;12;01.11.2022;Proportional representation;01.02.2005
Estonia;Unicameral;The Estonian Parliament;6;05.03.2023;Proportional representation;01.01.2005
Finland;Unicameral;Parliament;9;02.04.2023;Proportional representation;01.01.2005
France;Bicameral;National Assembly;11;19.06.2022;Plurality/majority;01.01.2005
Germany;Bicameral;German Bundestag;8;26.09.2021;Mixed system;01.09.2005
Greece;Unicameral;Hellenic Parliament;8;25.06.2023;Proportional representation;01.01.2005
Hungary;Unicameral;National Assembly;9;03.04.2022;Mixed system;01.01.2005
Ireland;Bicameral;House of Representatives;9;08.02.2020;Proportional representation;01.01.2005
Italy;Bicameral;Chamber of Deputies;8;25.09.2022;Mixed system;01.03.2018
Latvia;Unicameral;Parliament;7;01.10.2022;Proportional representation;01.01.2005
Lithuania;Unicameral;Parliament;10;11.10.2020;Mixed system;01.01.2005
Luxembourg;Unicameral;Chamber of Deputies;7;14.10.2018;Proportional representation;01.01.2005
Malta;Unicameral;House of Representatives;2;26.03.2022;Proportional representation;01.01.2005
Netherlands;Bicameral;House of Representatives;17;17.03.2021;Proportional representation;01.01.2005
Poland;Bicameral;Sejm;5;13.10.2019;Proportional representation;01.09.2005
Portugal;Unicameral;Assembly of the Republic;10;30.01.2022;Proportional representation;01.02.2005
Romania;Bicameral;Chamber of Deputies;5;06.12.2020;Proportional representation;01.01.2005
Slovakia;Unicameral;National Council;6;29.02.2020;Proportional representation;01.01.2005
Slovenia;Bicameral;National Assembly;5;22.04.2022;Proportional representation;01.01.2005
Spain;Bicameral;Congress of Deputies;11;10.11.2019;Proportional representation;01.01.2005
Sweden;Unicameral;Parliament;8;11.09.2022;Proportional representation;01.01.2005
